6;5;6;5
7;8;7;8
13;7;19;16
5;13;5;5
4;4;11;5
20;6;12;10
3;11;6;4
6;4;26;4
8;31;5;7
17;6;12;25
7;14;4;9
11;5;5;18
7;4;15;2
4;16;10;25
18;9;10;15
6;8;8;13
9;4;10;6
7;5;21;19
13;11;13;23
34;4;14;7
12;19;6;9
8;16;6;10
7;10;4;8
8;14;17;12
4;5;5;6
9;6;6;8
15;7;5;10
6;9;4;9
12;9;7;10
5;9;12;5
19;8;18;18
9;4;11;6
14;18;13;5
4;10;4;10
16;12;5;6
5;6;12;30
40;12;6;10
19;11;43;6
10;31;14;15
16;4;17;15
3;7;11;11
16;42;7;10
10;7;11;15
5;8;9;8
17;11;5;4
6;5;7;11
6;5;7;8
8;15;7;7
4;8;6;6
23;8;9;5
17;5;6;27
6;24;21;5
18;4;10;15
8;7;9;6
11;12;7;13
4;19;8;2
9;4;11;14
4;7;2;14
7;20;6;8
9;5;14;11
16;8;9;21
5;8;12;
;12;10;
;9;15;
