3;12;12;12
13;13;4;12
7;13;9;1
2;15;11;15
4;12;5;7
8;8;11;9
3;18;6;6
6;7;7;6
4;15;10;23
4;8;22;8
4;6;8;8
7;10;17;13
4;6;7;9
21;1;6;12
6;7;5;10
2;17;2;14
2;8;9;17
6;5;14;18
7;17;17;4
7;5;1;4
4;8;16;12
3;8;3;11
3;13;9;12
3;11;10;3
2;7;10;10
5;6;9;26
2;25;14;41
9;3;6;9
13;12;12;2
9;12;2;15
6;17;9;8
2;9;10;5
13;6;9;14
4;14;18;9
4;4;6;11
4;15;6;7
4;6;20;14
10;8;5;3
6;14;15;15
14;8;9;12
6;8;9;6
9;3;4;15
3;27;5;6
14;9;4;8
5;14;5;8
4;10;8;12
3;10;6;15
5;12;15;7
3;15;11;11
4;13;8;4
7;6;12;3
5;5;6;8
8;4;7;18
16;6;9;7
2;4;11;9
8;7;14;5
10;12;9;5
5;5;4;3
5;8;4;13
10;13;4;10
4;9;10;8
11;11;6;8
9;6;10;15
4;9;9;6
3;9;13;10
5;11;5;10
8;8;7;22
4;13;8;17
14;7;7;21
11;8;11;6
3;8;9;6
8;17;12;9
12;4;8;5
4;13;6;8
4;9;16;13
8;6;4;7
8;11;14;14
5;3;5;3
4;6;5;7
14;5;14;8
5;4;4;6
4;14;7;15
4;15;12;16
4;4;9;8
2;5;12;6
7;13;6;9
5;10;5;9
6;6;7;16
10;7;3;3
4;10;12;5
5;3;13;8
5;6;5;22
5;13;3;8
8;9;10;9
6;14;7;10
2;7;9;5
11;4;7;8
2;8;5;11
7;20;9;
8;9;9;
5;7;10;
4;11;4;
3;12;21;
6;;5;
3;;6;
5;;9;
12;;22;
6;;9;
7;;8;
7;;9;
8;;6;
5;;5;
5;;7;
17;;9;
2;;;
11;;;
2;;;
5;;;
4;;;
6;;;
2;;;
9;;;
3;;;
9;;;
5;;;
5;;;
2;;;
5;;;
5;;;
14;;;
3;;;
5;;;
8;;;
4;;;
2;;;
9;;;
6;;;
2;;;
5;;;
8;;;
4;;;
7;;;
6;;;
7;;;
21;;;
5;;;
2;;;
4;;;
6;;;
3;;;
18;;;
6;;;
5;;;
1;;;
7;;;
8;;;
6;;;
3;;;
5;;;
3;;;
