9;9;9;9
17;11;19;23
4;9;5;4
3;2;5;9
4;3;9;5
7;3;4;14
6;7;14;9
14;6;12;8
2;14;9;13
8;2;8;20
3;8;22;10
6;2;6;8
4;6;7;7
5;7;7;9
2;4;11;5
7;1;8;6
10;7;15;12
4;10;6;9
6;3;6;11
2;7;6;2
4;4;5;16
3;4;11;14
7;7;12;18
5;6;9;7
3;6;16;8
3;6;6;18
7;5;7;15
4;9;8;7
12;3;27;2
8;5;7;5
5;4;13;8
4;7;5;13
5;6;5;13
11;11;6;6
4;4;4;14
7;7;10;11
4;9;5;11
5;13;22;17
17;6;13;5
3;4;9;5
3;7;12;5
7;8;7;15
8;14;17;9
12;7;11;9
2;5;4;10
7;4;13;2
5;3;14;13
3;6;6;3
4;11;12;12
7;6;6;3
4;5;12;11
6;2;4;7
2;2;5;12
4;10;7;6
4;6;6;8
3;14;8;7
14;9;5;5
4;4;5;7
14;3;13;14
9;5;17;6
4;5;20;6
3;9;5;13
5;2;11;10
5;6;5;10
6;5;4;6
2;5;19;17
3;11;5;10
6;6;14;15
3;7;10;6
3;5;14;16
4;11;10;10
14;3;11;13
7;3;5;13
7;7;10;12
12;3;5;5
3;6;11;9
9;4;11;5
4;8;4;17
5;3;17;10
5;8;9;4
7;5;6;7
2;4;6;12
10;1;10;8
5;4;10;4
4;6;14;15
1;5;9;4
4;6;14;11
7;6;9;9
5;4;11;12
4;5;12;6
6;2;4;8
3;10;11;11
5;3;7;9
3;6;15;5
1;3;13;12
10;5;17;13
3;6;13;13
6;9;10;5
3;3;8;12
5;5;20;13
6;5;;11
11;13;;14
2;4;;
8;2;;
11;14;;
5;8;;
4;2;;
14;12;;
8;5;;
2;5;;
12;9;;
5;10;;
8;6;;
6;2;;
7;8;;
10;4;;
9;2;;
5;10;;
9;3;;
5;3;;
10;5;;
6;4;;
9;3;;
4;8;;
14;6;;
3;17;;
10;9;;
4;6;;
6;7;;
2;15;;
9;7;;
10;9;;
3;5;;
4;5;;
10;3;;
5;8;;
3;4;;
9;4;;
5;14;;
4;2;;
10;12;;
4;4;;
9;7;;
5;4;;
2;5;;
10;4;;
6;7;;
4;3;;
6;4;;
11;8;;
8;3;;
4;4;;
10;9;;
7;3;;
7;3;;
12;8;;
4;4;;
10;9;;
15;4;;
5;7;;
;6;;
;15;;
;3;;
